"","ID","Int","Slope","Slope.lci","Slope.uci","Rho","r.sq","n","varWD","varLMA","lci_2.5","lci_5","lci_10","uci_10","uci_5","uci_2.5","sig","Species","Level"
"11","COCA-LP",-0.0102317352263381,0.0485450993994922,0.0282231763470489,0.0834996970832803,0.513790732512087,0.263980916815307,13,0.000902459919420041,2.15283059479018e-06,NA,NA,NA,NA,NA,NA,0.0724880520991056,3,"Btw-tree.in.site"
"12","COCA-MIDG",-0.00410488343805951,0.0377275653885044,0.0214501229910184,0.066357157520256,0.323497280520461,0.104650490504134,14,0.00166025910775056,2.54389987573727e-06,NA,NA,NA,NA,NA,NA,0.259218373057759,3,"Btw-tree.in.site"
"13","COCA-STIR",0.0377171388873565,-0.0283322110773802,-0.0499823142924975,-0.0160599643272964,-0.0418541521081123,0.001751770048689,15,0.00320031852196975,2.56894107260936e-06,NA,NA,NA,NA,NA,NA,0.882263007747318,3,"Btw-tree.in.site"
"14","COCA-WAL",-0.0154845722636384,0.0568117419737831,0.034546491831765,0.0934269691351987,0.566736811797808,0.321190613846744,14,0.000698098060544302,2.39082613092687e-06,NA,NA,NA,NA,NA,NA,0.0345823477679304,3,"Btw-tree.in.site"
"15","EMARG-GRIM",0.0490139526396552,-0.0576057216425185,-0.101337081287261,-0.0327463463897148,-0.112914366735578,0.0127496542152966,15,0.000819963672046465,2.7209831647061e-06,NA,NA,NA,NA,NA,NA,0.688668972962117,4,"Btw-tree.in.site"
"16","EMARG-LP",-0.00788026488218048,0.0480218177021245,0.0300816049566013,0.0766613011088697,0.587235459422395,0.344845484803032,15,0.00254060044446445,5.85886591951933e-06,NA,NA,NA,NA,NA,NA,0.0213539535341227,4,"Btw-tree.in.site"
"17","EMARG-MIDG",0.0431949084531064,-0.0453413911685027,-0.079678136310243,-0.0258018303175457,-0.129687320196019,0.0168188010196247,15,0.00154675670204662,3.1798870099472e-06,NA,NA,NA,NA,NA,NA,0.645045381527408,4,"Btw-tree.in.site"
"18","EMARG-STIR",0.0664141654801775,-0.0700959603611974,-0.119415098287897,-0.041145916466214,-0.36303319410425,0.131793100021534,15,0.0017390673115359,8.54480925436819e-06,NA,NA,NA,NA,NA,NA,0.18353030877972,4,"Btw-tree.in.site"
"19","EMARG-WAL",0.0546120418403587,-0.0612223408477501,-0.108052163719632,-0.0346885697597289,-0.00845386689715111,7.14678655147473e-05,15,0.0011308461617305,4.23860933359088e-06,NA,NA,NA,NA,NA,NA,0.976145703995626,4,"Btw-tree.in.site"
"20","ESAL-BEN",0.0853778782741295,-0.0736897179188397,-0.145481997526157,-0.0373254053373982,-0.229841903743196,0.0528273007162967,11,0.000699944902760251,3.09940092071105e-06,NA,NA,NA,NA,NA,NA,0.496578174135705,5,"Btw-tree.in.site"
"21","ESAL-GNO",-0.0214722259903484,0.0631681180349312,0.036003484256116,0.110828471702629,0.151431188288059,0.0229314047863335,15,0.0010793228569381,4.30672608317474e-06,NA,NA,NA,NA,NA,NA,0.590070769438277,5,"Btw-tree.in.site"
"22","ESAL-NAR",-0.0291067410808761,0.0744112277803796,0.0411067946045123,0.13469867629075,0.319304633363722,0.101955448887541,13,0.000702849813171635,3.89170107721045e-06,NA,NA,NA,NA,NA,NA,0.287588305464833,5,"Btw-tree.in.site"
"23","ESAL-PER",-0.0149147536101736,0.0528191707548199,0.0302111498375243,0.0923455351494639,0.463076747811743,0.214440074363901,13,0.000798980762747679,2.41335684977253e-06,NA,NA,NA,NA,NA,NA,0.111027336902838,5,"Btw-tree.in.site"
"24","OBLI-BOF",-0.0156900000837048,0.0598398964328925,0.0339128355904211,0.105588728950484,0.0306362555994493,0.000938580157154789,15,0.000715509359767939,2.56210536382935e-06,NA,NA,NA,NA,NA,NA,0.913690860973452,6,"Btw-tree.in.site"
"25","OBLI-GRA",-0.0217771097049293,0.0731853485498163,0.0439851444895308,0.121770550137284,0.534895494829959,0.286113190389386,14,0.00113279711865868,5.75412452066104e-06,NA,NA,NA,NA,NA,NA,0.0487422423959415,6,"Btw-tree.in.site"
"26","OBLI-MER",-0.0479537609818339,0.114536478959759,0.0667036521108743,0.196669966296504,0.321549586440859,0.103394136540287,15,0.000752333077476929,9.86956048125794e-06,NA,NA,NA,NA,NA,NA,0.242531625192294,6,"Btw-tree.in.site"
"27","OBLI-TMP",0.0480346136994068,-0.0554850313258068,-0.0972481296466498,-0.0316570479289606,-0.16395707192276,0.0268819214334851,15,0.00130059546817558,4.00399851319075e-06,NA,NA,NA,NA,NA,NA,0.559295496146731,6,"Btw-tree.in.site"
"28","OVAT-CMP",-0.0210757542149402,0.0657150339521813,0.0379917806476702,0.11366842021397,0.276644255620322,0.0765320441677221,15,0.000748530491684229,3.23250324426328e-06,NA,NA,NA,NA,NA,NA,0.318208335492546,7,"Btw-tree.in.site"
"29","OVAT-EPF",0.0897524632715553,-0.106419957217159,-0.186270922031862,-0.0607996523051773,-0.178918490659961,0.0320118263000385,15,0.000740519576422504,8.38653770832571e-06,NA,NA,NA,NA,NA,NA,0.523465115252898,7,"Btw-tree.in.site"
"30","OVAT-GRA",0.0557321770580526,-0.0540782092533411,-0.091417553205695,-0.0319900567615057,-0.398840551492724,0.15907378551502,15,0.00143162489878621,4.18671932361749e-06,NA,NA,NA,NA,NA,NA,0.140853108240926,7,"Btw-tree.in.site"
"31","OVAT-MER",0.0960100955851217,-0.133728515831889,-0.254457318995936,-0.0702802183767623,-0.407444800571485,0.166011265512737,11,0.000709233373587293,8.92336649651457e-06,NA,NA,NA,NA,NA,NA,0.213569506753033,7,"Btw-tree.in.site"
"32","VIMI-EPF",0.0866871989775047,-0.106535439456978,-0.19802128081176,-0.05731606125243,-0.0989055900720878,0.00978231574750787,13,0.000423593494213002,4.78830464048948e-06,NA,NA,NA,NA,NA,NA,0.747857188122605,8,"Btw-tree.in.site"
"33","VIMI-FREY",-0.0299693072261844,0.0829472693792863,0.0473083143375769,0.145434255982672,0.159622053848265,0.0254792000747383,15,0.000810829121820482,5.57870665794751e-06,NA,NA,NA,NA,NA,NA,0.569868515858587,8,"Btw-tree.in.site"
"34","VIMI-GRA",-0.0390080267067642,0.0921682059443879,0.0526986706988433,0.161199098086426,0.187077275651061,0.034997907065023,15,0.000530323254076438,4.50508447544197e-06,NA,NA,NA,NA,NA,NA,0.504374343949076,8,"Btw-tree.in.site"
"35","VIMI-MER",-0.0324992649350667,0.0872703507750437,0.0469089168651539,0.16235962442477,0.0807593906213554,0.00652207917353266,13,0.000588748792729416,4.26700722048989e-06,NA,NA,NA,NA,NA,NA,0.793113493145334,8,"Btw-tree.in.site"
"36","VIMI-TMP",0.0574193211909281,-0.0630537886076123,-0.110462973091803,-0.0359919722101746,-0.169237407974443,0.0286413002579081,15,0.00152663313091165,6.06955786274145e-06,NA,NA,NA,NA,NA,NA,0.546531320984858,8,"Btw-tree.in.site"
